Unnamed: 0,Molecule Name,SMILES,Mean activity (%),Standard Deviation
104,PCM-0223610,Clc1ccc2C(CN(CC(=O)N3CCc4ccccc4C3c5ccccc5)Cc2c1)C(=O)Nc6cncc7ccccc67,66.8,2.0
106,PCM-0223609,Clc1ccc2[C@@H](CN(CC(=O)Nc3n[nH]c4ccc(Br)cc34)Cc2c1)C(=O)Nc5cncc6ccccc56,75.8,1.9
108,PCM-0223608,[O-][N+](=O)c1cncc(Br)c1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,81.1,0.8
110,PCM-0223607,CCc1ccc(cc1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)[N+](=O)[O-],78.5,0.4
112,PCM-0223606,CCCc1nn(C)c(C(=O)NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c1N,19.8,0.4
114,PCM-0223605,CC(C)c1cccc(C(C)C)c1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,38.5,0.4
116,PCM-0223604,Cc1cc(Br)cc(C)c1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,69.5,0.6
118,PCM-0223603,Cc1ccc2ccccc2c1NC(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3,41.1,0.1
120,PCM-0223602,Cc1ncc(CO)c(CNC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c1O,46.0,0.1
122,PCM-0223601,Fc1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c(I)c1,75.3,0.6
124,PCM-0223600,Fc1ccc(CNC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc1Cl,17.6,0.1
126,PCM-0223599,COc1cccc(CNC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c1OC,33.6,11.1
128,PCM-0223598,FC(F)(F)c1ccccc1CCNC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,17.9,0.0
130,PCM-0223597,CN1CCN(CC1)c2ccccc2NC(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3,75.5,1.0
132,PCM-0223596,[O-][N+](=O)c1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c6ccccc16,77.6,0.9
134,PCM-0223595,C[C@H]1CN(CCN1C(=O)OC(C)(C)C)C(=O)CN2CC(C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,67.8,0.5
